time,millsec,voltage,reading,average_reading
19:03:15,1701178395420,12.56,-4.3,-4.20768
19:03:16,1701178396915,12.56,-3.3,-3.18286
19:03:18,1701178398216,12.56,-4.0,-3.96133
19:03:19,1701178399615,12.56,-4.8,-3.80367
19:03:21,1701178401110,12.56,-3.6,-3.41936
19:03:22,1701178402412,12.42,-3.7,-2.93651
19:03:25,1701178405700,12.56,-2.3,-2.68030
19:03:25,1701178405701,12.56,-4.5,-3.97119
19:03:26,1701178406607,12.42,-4.4,-4.30622
19:03:28,1701178408008,12.56,-4.3,-3.98104
19:03:29,1701178409407,12.56,-3.8,-4.51316
19:03:30,1701178410804,12.42,-5.4,-4.41462
19:03:32,1701178412208,12.56,-4.9,-5.56754
19:03:33,1701178413603,12.56,-6.3,-6.28689
19:03:34,1701178414999,12.56,-6.9,-6.86828
19:03:39,1701178419185,12.56,-5.7,-5.56754
19:03:39,1701178419186,12.56,-4.0,-3.79381
19:03:39,1701178419197,12.56,-1.4,-2.06935
19:03:40,1701178420595,12.56,-0.5,0.87701
19:03:42,1701178422065,12.56,3.5,4.29637
19:03:43,1701178423391,12.42,6.3,6.18835
19:03:44,1701178424792,12.56,7.9,8.84895
19:03:48,1701178428072,12.56,9.9,9.89348
19:03:48,1701178428072,12.56,9.0,9.74567
19:03:48,1701178428985,12.42,10.6,11.09567
19:03:50,1701178430383,12.56,11.1,11.30261
19:03:51,1701178431780,12.56,11.5,11.35188
19:03:53,1701178433188,12.42,10.5,10.47487
19:03:54,1701178434585,12.56,9.6,10.26793
19:03:55,1701178435979,12.56,9.8,9.75552
19:03:57,1701178437410,12.56,9.8,8.78982
19:03:58,1701178438778,12.56,6.9,7.46938
19:04:00,1701178440172,12.56,7.3,8.41537
19:04:01,1701178441575,12.59,8.7,8.76026
19:04:22,1701178462078,12.42,0.3,0.18723
19:04:23,1701178463429,12.42,0.2,-0.82774
19:04:26,1701178466723,12.42,-2.7,-3.20257
19:04:26,1701178466724,12.39,-4.5,-4.92703
19:04:27,1701178467635,12.42,-5.1,-4.20768
19:04:29,1701178469039,12.56,-4.0,-3.77411
19:04:30,1701178470432,12.56,-3.1,-1.93140
19:04:31,1701178471830,12.56,-2.5,-1.22190
19:04:33,1701178473232,12.56,-1.2,-0.12810
19:04:34,1701178474745,12.56,-0.1,0.27591
19:04:36,1701178476024,12.56,0.7,0.60110
19:04:37,1701178477497,12.56,0.5,0.95584
19:04:38,1701178478821,12.56,1.3,0.79818
19:04:40,1701178480220,12.56,-1.0,-0.44343
19:04:41,1701178481618,12.56,-0.5,-0.07883
19:04:43,1701178483018,12.56,0.0,-0.14781
19:04:44,1701178484472,12.56,-0.7,-0.07883
19:04:45,1701178485813,12.42,0.5,-0.23650
19:04:47,1701178487210,12.56,-0.4,0.00000
19:04:48,1701178488638,12.56,1.0,0.74891
19:04:50,1701178490009,12.56,1.4,0.43358
19:04:51,1701178491411,12.56,0.7,0.42372
19:04:52,1701178492803,12.56,0.6,0.28577
19:04:54,1701178494201,12.42,-0.0,-0.52227
19:04:55,1701178495598,12.42,-0.1,-0.49270
19:04:57,1701178497014,12.56,-0.8,-0.55183
19:04:58,1701178498396,12.56,0.0,-0.37445
19:04:59,1701178499796,12.56,-0.6,-0.81789
19:05:01,1701178501192,12.56,-0.9,-0.87701
19:05:02,1701178502602,12.56,-0.2,-0.89672
19:05:03,1701178503989,12.42,-2.0,-2.02008
19:05:05,1701178505466,12.56,-2.5,-3.12374
19:05:06,1701178506798,12.56,-3.5,-3.50805
19:05:08,1701178508183,12.56,-3.4,55.12362
19:05:09,1701178509584,12.56,278.3,265.70490
19:05:18,1701178518444,12.56,250.3,243.05042
19:05:18,1701178518448,12.56,247.4,242.22267
19:05:18,1701178518450,12.42,241.9,248.40117
19:05:18,1701178518451,12.56,219.8,112.00126
19:05:18,1701178518451,12.56,-2.4,-2.44381
19:05:18,1701178518452,12.42,0.5,-1.24161
19:05:19,1701178519369,12.42,-2.6,-3.17301
19:05:20,1701178520769,12.56,-2.0,-2.87739
19:05:22,1701178522168,12.56,-2.6,-2.56206
19:05:26,1701178526339,12.56,-2.5,-2.37483
19:05:26,1701178526354,12.56,-3.6,-3.05476
19:05:26,1701178526365,12.56,-3.3,-3.49819
19:05:27,1701178527757,12.56,-3.3,-3.45878
19:05:29,1701178529158,12.56,-3.5,-3.79381
19:05:30,1701178530558,12.56,-3.7,-3.72484
19:05:31,1701178531952,12.56,-4.6,-4.66097
19:05:33,1701178533420,12.42,-5.2,-5.03543
19:05:34,1701178534762,12.42,-5.1,-5.93214
19:05:36,1701178536212,12.42,-6.4,-5.80404
19:05:37,1701178537547,12.56,-5.5,-5.50842
19:05:38,1701178538944,12.56,-5.9,-6.12923
19:05:43,1701178543129,12.56,-6.2,-6.79930
19:05:43,1701178543130,12.56,-6.3,-5.80404
19:05:43,1701178543142,12.56,-5.6,-5.33105
19:06:03,1701178563197,12.56,-4.3,-4.17812
