time,millsec,voltage,reading,average_reading
12:15:58,1701326758836,0.00,-0.1,0.03942
12:16:00,1701326760197,0.00,-0.2,-0.82774
12:16:01,1701326761604,0.00,-0.7,-0.87701
12:16:02,1701326762999,0.00,-0.4,-0.26606
12:16:04,1701326764386,0.00,-0.3,0.15766
12:16:08,1701326768675,0.00,0.5,0.45329
12:16:08,1701326768675,0.00,-0.4,0.38431
12:16:08,1701326768676,0.00,0.1,0.16752
12:16:09,1701326770002,0.00,0.5,-0.14781
12:16:11,1701326771435,0.00,12.4,1.57665
12:16:12,1701326772972,0.00,-0.6,-0.41387
12:16:16,1701326776944,0.00,0.6,-0.10839
12:16:16,1701326776956,0.00,0.1,0.00985
12:16:16,1701326776969,0.00,-0.1,-0.89672
12:16:18,1701326778393,0.55,-0.5,0.02956
12:16:19,1701326779763,0.75,0.1,-0.00985
12:16:21,1701326781160,0.92,0.3,-0.47299
12:16:22,1701326782588,12.42,3.3,1.09380
12:16:23,1701326783948,12.56,-0.3,-0.08869
12:16:25,1701326785343,12.56,-0.8,-0.29562
12:16:26,1701326786739,12.42,-0.1,-0.53212
12:16:28,1701326788139,12.53,-0.5,-0.23650
12:16:29,1701326789534,12.39,-0.8,0.05912
12:16:30,1701326790931,12.53,-0.6,-0.32518
12:16:32,1701326792331,12.56,-0.3,-0.39416
12:16:33,1701326793723,12.53,54.8,10.06100
12:16:35,1701326795123,12.53,0.7,-0.17737
12:16:36,1701326796519,12.39,1.2,-0.53212
12:16:37,1701326797913,12.53,-3.5,-2.40439
12:16:39,1701326799312,12.56,-5.0,-6.06025
12:16:49,1701326809191,12.56,-6.1,-6.01098
12:16:49,1701326809192,12.53,-7.7,-7.76500
12:16:49,1701326809192,12.39,-4.9,-16.29862
12:16:49,1701326809193,12.56,-4.7,-4.29637
12:16:49,1701326809193,12.35,-3.1,-37.50455
12:16:49,1701326809193,12.53,-55.3,-50.91593
12:16:49,1701326809397,12.39,-49.7,-47.32906
12:16:50,1701326810625,12.39,-46.1,-45.93963
12:16:51,1701326811965,12.32,-46.4,-45.45678
